+ACI-date+ACI-,+ACI-product+ACI-,+ACI-sales+ACI-,+ACI-day+AF8-of+AF8-week+ACI-,+ACI-month+ACI-,+ACI-quarter+ACI-,+ACI-year+ACI-,+ACI-day+AF8-of+AF8-year+ACI-,+ACI-sales+AF8-rolling+AF8-7+ACI-,+ACI-sales+AF8-rolling+AF8-30+ACI-,+ACI-sales+AF8-lag+AF8-1+ACI-,+ACI-sales+AF8-lag+AF8-7+ACI-,,
2023+AC0-09+AC0-13,+ACI-Widget A+ACI-,30,2,9,3,2023,256,+ACI-22.857142857142858+ACI-,+ACI-22.466666666666665+ACI-,+ACI-17.0+ACI-,+ACI-19.0+ACI-,,
2023+AC0-09+AC0-14,+ACI-Widget A+ACI-,21,3,9,3,2023,257,+ACI-22.428571428571427+ACI-,+ACI-22.433333333333334+ACI-,+ACI-30.0+ACI-,+ACI-24.0+ACI-,,
2023+AC0-09+AC0-15,+ACI-Widget A+ACI-,18,4,9,3,2023,258,+ACI-21.285714285714285+ACI-,+ACI-22.3+ACI-,+ACI-21.0+ACI-,+ACI-26.0+ACI-,,
2023+AC0-09+AC0-16,+ACI-Widget A+ACI-,29,5,9,3,2023,259,+ACI-22.857142857142858+ACI-,+ACI-22.566666666666666+ACI-,+ACI-18.0+ACI-,+ACI-18.0+ACI-,,
2023+AC0-09+AC0-17,+ACI-Widget A+ACI-,21,6,9,3,2023,260,+ACI-22.571428571428573+ACI-,+ACI-22.566666666666666+ACI-,+ACI-29.0+ACI-,+ACI-23.0+ACI-,,
2023+AC0-09+AC0-18,+ACI-Widget A+ACI-,18,0,9,3,2023,261,+ACI-22.0+ACI-,+ACI-22.4+ACI-,+ACI-21.0+ACI-,+ACI-22.0+ACI-,,
2023+AC0-09+AC0-19,+ACI-Widget A+ACI-,29,1,9,3,2023,262,+ACI-23.714285714285715+ACI-,+ACI-22.2+ACI-,+ACI-18.0+ACI-,+ACI-17.0+ACI-,,
2023+AC0-09+AC0-20,+ACI-Widget A+ACI-,34,2,9,3,2023,263,+ACI-24.285714285714285+ACI-,+ACI-22.4+ACI-,+ACI-29.0+ACI-,+ACI-30.0+ACI-,,
2023+AC0-09+AC0-21,+ACI-Widget A+ACI-,26,3,9,3,2023,264,+ACI-25.0+ACI-,+ACI-22.6+ACI-,+ACI-34.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-09+AC0-22,+ACI-Widget A+ACI-,23,4,9,3,2023,265,+ACI-25.714285714285715+ACI-,+ACI-22.666666666666668+ACI-,+ACI-26.0+ACI-,+ACI-18.0+ACI-,,
2023+AC0-09+AC0-23,+ACI-Widget A+ACI-,17,5,9,3,2023,266,+ACI-24.0+ACI-,+ACI-22.5+ACI-,+ACI-23.0+ACI-,+ACI-29.0+ACI-,,
2023+AC0-09+AC0-24,+ACI-Widget A+ACI-,21,6,9,3,2023,267,+ACI-24.0+ACI-,+ACI-22.366666666666667+ACI-,+ACI-17.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-09+AC0-25,+ACI-Widget A+ACI-,29,0,9,3,2023,268,+ACI-25.571428571428573+ACI-,+ACI-22.9+ACI-,+ACI-21.0+ACI-,+ACI-18.0+ACI-,,
2023+AC0-09+AC0-26,+ACI-Widget A+ACI-,22,1,9,3,2023,269,+ACI-24.571428571428573+ACI-,+ACI-22.833333333333332+ACI-,+ACI-29.0+ACI-,+ACI-29.0+ACI-,,
2023+AC0-09+AC0-27,+ACI-Widget A+ACI-,37,2,9,3,2023,270,+ACI-25.0+ACI-,+ACI-23.4+ACI-,+ACI-22.0+ACI-,+ACI-34.0+ACI-,,
2023+AC0-09+AC0-28,+ACI-Widget A+ACI-,25,3,9,3,2023,271,+ACI-24.857142857142858+ACI-,+ACI-23.8+ACI-,+ACI-37.0+ACI-,+ACI-26.0+ACI-,,
2023+AC0-09+AC0-29,+ACI-Widget A+ACI-,24,4,9,3,2023,272,+ACI-25.0+ACI-,+ACI-24.1+ACI-,+ACI-25.0+ACI-,+ACI-23.0+ACI-,,
2023+AC0-09+AC0-30,+ACI-Widget A+ACI-,20,5,9,3,2023,273,+ACI-25.428571428571427+ACI-,+ACI-24.4+ACI-,+ACI-24.0+ACI-,+ACI-17.0+ACI-,,
2023+AC0-10+AC0-01,+ACI-Widget A+ACI-,24,6,10,4,2023,274,+ACI-25.857142857142858+ACI-,+ACI-24.333333333333332+ACI-,+ACI-20.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-10+AC0-02,+ACI-Widget A+ACI-,29,0,10,4,2023,275,+ACI-25.857142857142858+ACI-,+ACI-24.433333333333334+ACI-,+ACI-24.0+ACI-,+ACI-29.0+ACI-,,
2023+AC0-10+AC0-03,+ACI-Widget A+ACI-,25,1,10,4,2023,276,+ACI-26.285714285714285+ACI-,+ACI-24.333333333333332+ACI-,+ACI-29.0+ACI-,+ACI-22.0+ACI-,,
2023+AC0-10+AC0-04,+ACI-Widget A+ACI-,26,2,10,4,2023,277,+ACI-24.714285714285715+ACI-,+ACI-24.333333333333332+ACI-,+ACI-25.0+ACI-,+ACI-37.0+ACI-,,
2023+AC0-10+AC0-05,+ACI-Widget A+ACI-,21,3,10,4,2023,278,+ACI-24.142857142857142+ACI-,+ACI-23.933333333333334+ACI-,+ACI-26.0+ACI-,+ACI-25.0+ACI-,,
2023+AC0-10+AC0-06,+ACI-Widget A+ACI-,21,4,10,4,2023,279,+ACI-23.714285714285715+ACI-,+ACI-24.0+ACI-,+ACI-21.0+ACI-,+ACI-24.0+ACI-,,
2023+AC0-10+AC0-07,+ACI-Widget A+ACI-,29,5,10,4,2023,280,+ACI-25.0+ACI-,+ACI-24.166666666666668+ACI-,+ACI-21.0+ACI-,+ACI-20.0+ACI-,,
2023+AC0-10+AC0-08,+ACI-Widget A+ACI-,21,6,10,4,2023,281,+ACI-24.571428571428573+ACI-,+ACI-24.0+ACI-,+ACI-29.0+ACI-,+ACI-24.0+ACI-,,
2023+AC0-10+AC0-09,+ACI-Widget A+ACI-,28,0,10,4,2023,282,+ACI-24.428571428571427+ACI-,+ACI-24.333333333333332+ACI-,+ACI-21.0+ACI-,+ACI-29.0+ACI-,,
2023+AC0-10+AC0-10,+ACI-Widget A+ACI-,25,1,10,4,2023,283,+ACI-24.428571428571427+ACI-,+ACI-24.4+ACI-,+ACI-28.0+ACI-,+ACI-25.0+ACI-,,
2023+AC0-10+AC0-11,+ACI-Widget A+ACI-,21,2,10,4,2023,284,+ACI-23.714285714285715+ACI-,+ACI-24.366666666666667+ACI-,+ACI-25.0+ACI-,+ACI-26.0+ACI-,,
2023+AC0-10+AC0-12,+ACI-Widget A+ACI-,29,3,10,4,2023,285,+ACI-24.857142857142858+ACI-,+ACI-24.766666666666666+ACI-,+ACI-21.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-10+AC0-13,+ACI-Widget A+ACI-,28,4,10,4,2023,286,+ACI-25.857142857142858+ACI-,+ACI-24.7+ACI-,+ACI-29.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-10+AC0-14,+ACI-Widget A+ACI-,24,5,10,4,2023,287,+ACI-25.142857142857142+ACI-,+ACI-24.8+ACI-,+ACI-28.0+ACI-,+ACI-29.0+ACI-,,
2023+AC0-10+AC0-15,+ACI-Widget A+ACI-,28,6,10,4,2023,288,+ACI-26.142857142857142+ACI-,+ACI-25.133333333333333+ACI-,+ACI-24.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-10+AC0-16,+ACI-Widget A+ACI-,34,0,10,4,2023,289,+ACI-27.0+ACI-,+ACI-25.3+ACI-,+ACI-28.0+ACI-,+ACI-28.0+ACI-,,
2023+AC0-10+AC0-17,+ACI-Widget A+ACI-,21,1,10,4,2023,290,+ACI-26.428571428571427+ACI-,+ACI-25.3+ACI-,+ACI-34.0+ACI-,+ACI-25.0+ACI-,,
2023+AC0-10+AC0-18,+ACI-Widget A+ACI-,25,2,10,4,2023,291,+ACI-27.0+ACI-,+ACI-25.533333333333335+ACI-,+ACI-21.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-10+AC0-19,+ACI-Widget A+ACI-,35,3,10,4,2023,292,+ACI-27.857142857142858+ACI-,+ACI-25.733333333333334+ACI-,+ACI-25.0+ACI-,+ACI-29.0+ACI-,,
2023+AC0-10+AC0-20,+ACI-Widget A+ACI-,23,4,10,4,2023,293,+ACI-27.142857142857142+ACI-,+ACI-25.366666666666667+ACI-,+ACI-35.0+ACI-,+ACI-28.0+ACI-,,
2023+AC0-10+AC0-21,+ACI-Widget A+ACI-,23,5,10,4,2023,294,+ACI-27.0+ACI-,+ACI-25.266666666666666+ACI-,+ACI-23.0+ACI-,+ACI-24.0+ACI-,,
2023+AC0-10+AC0-22,+ACI-Widget A+ACI-,26,6,10,4,2023,295,+ACI-26.714285714285715+ACI-,+ACI-25.366666666666667+ACI-,+ACI-23.0+ACI-,+ACI-28.0+ACI-,,
2023+AC0-10+AC0-23,+ACI-Widget A+ACI-,29,0,10,4,2023,296,+ACI-26.0+ACI-,+ACI-25.766666666666666+ACI-,+ACI-26.0+ACI-,+ACI-34.0+ACI-,,
2023+AC0-10+AC0-24,+ACI-Widget A+ACI-,21,1,10,4,2023,297,+ACI-26.0+ACI-,+ACI-25.766666666666666+ACI-,+ACI-29.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-10+AC0-25,+ACI-Widget A+ACI-,17,2,10,4,2023,298,+ACI-24.857142857142858+ACI-,+ACI-25.366666666666667+ACI-,+ACI-21.0+ACI-,+ACI-25.0+ACI-,,
2023+AC0-10+AC0-26,+ACI-Widget A+ACI-,30,3,10,4,2023,299,+ACI-24.142857142857142+ACI-,+ACI-25.633333333333333+ACI-,+ACI-17.0+ACI-,+ACI-35.0+ACI-,,
2023+AC0-10+AC0-27,+ACI-Widget A+ACI-,22,4,10,4,2023,300,+ACI-24.0+ACI-,+ACI-25.133333333333333+ACI-,+ACI-30.0+ACI-,+ACI-23.0+ACI-,,
2023+AC0-10+AC0-28,+ACI-Widget A+ACI-,27,5,10,4,2023,301,+ACI-24.571428571428573+ACI-,+ACI-25.2+ACI-,+ACI-22.0+ACI-,+ACI-23.0+ACI-,,
2023+AC0-10+AC0-29,+ACI-Widget A+ACI-,27,6,10,4,2023,302,+ACI-24.714285714285715+ACI-,+ACI-25.3+ACI-,+ACI-27.0+ACI-,+ACI-26.0+ACI-,,
2023+AC0-10+AC0-30,+ACI-Widget A+ACI-,38,0,10,4,2023,303,+ACI-26.0+ACI-,+ACI-25.9+ACI-,+ACI-27.0+ACI-,+ACI-29.0+ACI-,,
2023+AC0-10+AC0-31,+ACI-Widget A+ACI-,23,1,10,4,2023,304,+ACI-26.285714285714285+ACI-,+ACI-25.866666666666667+ACI-,+ACI-38.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-11+AC0-01,+ACI-Widget A+ACI-,24,2,11,4,2023,305,+ACI-27.285714285714285+ACI-,+ACI-25.7+ACI-,+ACI-23.0+ACI-,+ACI-17.0+ACI-,,
2023+AC0-11+AC0-02,+ACI-Widget A+ACI-,34,3,11,4,2023,306,+ACI-27.857142857142858+ACI-,+ACI-26.0+ACI-,+ACI-24.0+ACI-,+ACI-30.0+ACI-,,
2023+AC0-11+AC0-03,+ACI-Widget A+ACI-,31,4,11,4,2023,307,+ACI-29.142857142857142+ACI-,+ACI-26.166666666666668+ACI-,+ACI-34.0+ACI-,+ACI-22.0+ACI-,,
2023+AC0-11+AC0-04,+ACI-Widget A+ACI-,29,5,11,4,2023,308,+ACI-29.428571428571427+ACI-,+ACI-26.433333333333334+ACI-,+ACI-31.0+ACI-,+ACI-27.0+ACI-,,
2023+AC0-11+AC0-05,+ACI-Widget A+ACI-,18,6,11,4,2023,309,+ACI-28.142857142857142+ACI-,+ACI-26.333333333333332+ACI-,+ACI-29.0+ACI-,+ACI-27.0+ACI-,,
2023+AC0-11+AC0-06,+ACI-Widget A+ACI-,23,0,11,4,2023,310,+ACI-26.0+ACI-,+ACI-26.133333333333333+ACI-,+ACI-18.0+ACI-,+ACI-38.0+ACI-,,
2023+AC0-11+AC0-07,+ACI-Widget A+ACI-,25,1,11,4,2023,311,+ACI-26.285714285714285+ACI-,+ACI-26.266666666666666+ACI-,+ACI-23.0+ACI-,+ACI-23.0+ACI-,,
2023+AC0-11+AC0-08,+ACI-Widget A+ACI-,17,2,11,4,2023,312,+ACI-25.285714285714285+ACI-,+ACI-25.9+ACI-,+ACI-25.0+ACI-,+ACI-24.0+ACI-,,
2023+AC0-11+AC0-09,+ACI-Widget A+ACI-,29,3,11,4,2023,313,+ACI-24.571428571428573+ACI-,+ACI-26.033333333333335+ACI-,+ACI-17.0+ACI-,+ACI-34.0+ACI-,,
2023+AC0-11+AC0-10,+ACI-Widget A+ACI-,26,4,11,4,2023,314,+ACI-23.857142857142858+ACI-,+ACI-26.2+ACI-,+ACI-29.0+ACI-,+ACI-31.0+ACI-,,
2023+AC0-11+AC0-11,+ACI-Widget A+ACI-,21,5,11,4,2023,315,+ACI-22.714285714285715+ACI-,+ACI-25.933333333333334+ACI-,+ACI-26.0+ACI-,+ACI-29.0+ACI-,,
2023+AC0-11+AC0-12,+ACI-Widget A+ACI-,21,6,11,4,2023,316,+ACI-23.142857142857142+ACI-,+ACI-25.7+ACI-,+ACI-21.0+ACI-,+ACI-18.0+ACI-,,
2023+AC0-11+AC0-13,+ACI-Widget A+ACI-,21,0,11,4,2023,317,+ACI-22.857142857142858+ACI-,+ACI-25.6+ACI-,+ACI-21.0+ACI-,+ACI-23.0+ACI-,,
2023+AC0-11+AC0-14,+ACI-Widget A+ACI-,21,1,11,4,2023,318,+ACI-22.285714285714285+ACI-,+ACI-25.366666666666667+ACI-,+ACI-21.0+ACI-,+ACI-25.0+ACI-,,
2023+AC0-11+AC0-15,+ACI-Widget A+ACI-,20,2,11,4,2023,319,+ACI-22.714285714285715+ACI-,+ACI-24.9+ACI-,+ACI-21.0+ACI-,+ACI-17.0+ACI-,,
2023+AC0-11+AC0-16,+ACI-Widget A+ACI-,39,3,11,4,2023,320,+ACI-24.142857142857142+ACI-,+ACI-25.5+ACI-,+ACI-20.0+ACI-,+ACI-29.0+ACI-,,
2023+AC0-11+AC0-17,+ACI-Widget A+ACI-,19,4,11,4,2023,321,+ACI-23.142857142857142+ACI-,+ACI-25.3+ACI-,+ACI-39.0+ACI-,+ACI-26.0+ACI-,,
2023+AC0-11+AC0-18,+ACI-Widget A+ACI-,26,5,11,4,2023,322,+ACI-23.857142857142858+ACI-,+ACI-25.0+ACI-,+ACI-19.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-11+AC0-19,+ACI-Widget A+ACI-,24,6,11,4,2023,323,+ACI-24.285714285714285+ACI-,+ACI-25.033333333333335+ACI-,+ACI-26.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-11+AC0-20,+ACI-Widget A+ACI-,24,0,11,4,2023,324,+ACI-24.714285714285715+ACI-,+ACI-25.066666666666666+ACI-,+ACI-24.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-11+AC0-21,+ACI-Widget A+ACI-,38,1,11,4,2023,325,+ACI-27.142857142857142+ACI-,+ACI-25.466666666666665+ACI-,+ACI-24.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-11+AC0-22,+ACI-Widget A+ACI-,24,2,11,4,2023,326,+ACI-27.714285714285715+ACI-,+ACI-25.3+ACI-,+ACI-38.0+ACI-,+ACI-20.0+ACI-,,
